database,genotype,region,chromosome,n_tested,n_error_tolerant,n_becomes_ambiguous,n_becomes_wrong,n_becomes_novel,pct_error_tolerant,pct_becomes_ambiguous,pct_becomes_wrong,pct_becomes_novel
Col-0_ARMS_Chr1,Col-0,ARMS,Chr1,100000,1,0,13,99986,0.001,0.0,0.013,99.986
Col-0_ARMS_Chr2,Col-0,ARMS,Chr2,100000,0,0,11,99989,0.0,0.0,0.011,99.989
Col-0_ARMS_Chr3,Col-0,ARMS,Chr3,100000,1,0,6,99993,0.001,0.0,0.006,99.993
Col-0_ARMS_Chr4,Col-0,ARMS,Chr4,100000,0,0,8,99992,0.0,0.0,0.008,99.992
Col-0_ARMS_Chr5,Col-0,ARMS,Chr5,100000,0,0,5,99995,0.0,0.0,0.005,99.995
Col-0_CEN_Chr1,Col-0,CEN,Chr1,79133,485,0,271,78377,0.6128922194280515,0.0,0.342461425701035,99.04464635487092
Col-0_CEN_Chr2,Col-0,CEN,Chr2,82887,633,0,343,81911,0.7636903253827501,0.0,0.41381640064183767,98.82249327397541
Col-0_CEN_Chr3,Col-0,CEN,Chr3,100000,374,0,245,99381,0.374,0.0,0.245,99.381
Col-0_CEN_Chr4,Col-0,CEN,Chr4,100000,566,0,332,99102,0.566,0.0,0.332,99.102
Col-0_CEN_Chr5,Col-0,CEN,Chr5,100000,189,0,263,99548,0.189,0.0,0.263,99.548
Ler-0_ARMS_Chr1,Ler-0,ARMS,Chr1,100000,0,0,8,99992,0.0,0.0,0.008,99.992
Ler-0_ARMS_Chr2,Ler-0,ARMS,Chr2,100000,0,0,7,99993,0.0,0.0,0.007,99.993
Ler-0_ARMS_Chr3,Ler-0,ARMS,Chr3,100000,2,0,10,99988,0.002,0.0,0.01,99.988
Ler-0_ARMS_Chr4,Ler-0,ARMS,Chr4,100000,0,0,16,99984,0.0,0.0,0.016,99.984
Ler-0_ARMS_Chr5,Ler-0,ARMS,Chr5,100000,0,0,7,99993,0.0,0.0,0.007,99.993
Ler-0_CEN_Chr1,Ler-0,CEN,Chr1,77410,670,0,313,76427,0.8655212504844335,0.0,0.4043405244800413,98.73013822503553
Ler-0_CEN_Chr2,Ler-0,CEN,Chr2,56193,329,0,229,55635,0.5854821774954175,0.0,0.40752406883419645,99.00699375367039
Ler-0_CEN_Chr3,Ler-0,CEN,Chr3,100000,195,0,197,99608,0.195,0.0,0.197,99.608
Ler-0_CEN_Chr4,Ler-0,CEN,Chr4,100000,384,0,341,99275,0.384,0.0,0.341,99.275
Ler-0_CEN_Chr5,Ler-0,CEN,Chr5,100000,241,0,293,99466,0.241,0.0,0.293,99.466
